Date,ISM_PMI
01/07/2013,50.1
01/08/2013,52.8
01/09/2013,55.6
01/10/2013,55.8
01/11/2013,56
01/12/2013,56.1
01/01/2014,51.8
01/02/2014,54.3
01/03/2014,54.4
01/04/2014,55.3
01/05/2014,55.6
01/06/2014,55.7
01/07/2014,56.4
01/08/2014,58.1
01/09/2014,56.1
01/10/2014,57.9
01/11/2014,57.6
01/12/2014,55.1
01/01/2015,53.5
01/02/2015,52.9
01/03/2015,51.5
01/04/2015,51.5
01/05/2015,52.8
01/06/2015,53.5
01/07/2015,52.7
01/08/2015,51.1
01/09/2015,50.2
01/10/2015,49.4
01/11/2015,48.4
01/12/2015,48
01/01/2016,48.2
01/02/2016,49.5
01/03/2016,51.8
01/04/2016,50.8
01/05/2016,51.3
01/06/2016,53.2
01/07/2016,52.6
01/08/2016,49.4
01/09/2016,51.7
01/10/2016,52
01/11/2016,53.5
01/12/2016,54.5
01/01/2017,56
01/02/2017,57.7
01/03/2017,57.2
01/04/2017,54.8
01/05/2017,54.9
01/06/2017,57.8
01/07/2017,56.3
01/08/2017,58.8
01/09/2017,60.8
01/10/2017,58.7
01/11/2017,58.2
01/12/2017,59.7
01/01/2018,59.1
01/02/2018,60.7
01/03/2018,59.3
01/04/2018,57.9
01/05/2018,58.7
01/06/2018,60
01/07/2018,58.4
01/08/2018,60.8
01/09/2018,59.5
01/10/2018,57.5
01/11/2018,58.8
01/12/2018,54.3
01/01/2019,56.6
01/02/2019,54.2
01/03/2019,55.3
01/04/2019,52.8
01/05/2019,52.1
01/06/2019,51.7
01/07/2019,51.2
01/08/2019,49.1
01/09/2019,47.8
01/10/2019,48.3
01/11/2019,48.1
01/12/2019,47.2
01/01/2020,50.9
01/02/2020,50.1
01/03/2020,49.1
01/04/2020,41.5
01/05/2020,43.1
01/06/2020,52.6
01/07/2020,54.2
01/08/2020,56
01/09/2020,55.4
01/10/2020,59.3
